Country,slope(log cases),start day,intersecpt(log cases)
Italy,0.21347929469526888,31,5.351164271081363
US,0.2574367779973284,33,3.089251829109285
Spain,0.29216128797280394,39,4.587213237676942
Germany,0.26147948538529314,38,4.664017106191712
Iran,0.2020876715113255,33,5.439125743649657
France,0.24246278461973717,37,4.547833534741828
Switzerland,0.24758212099523838,41,4.410307211920787
United Kingdom,0.2362246813980793,41,4.262781725506819
Netherlands,0.21958434747468253,43,4.773839150892933
Belgium,0.22182465647796418,43,4.443632040969419
Austria,0.2620893963325637,44,4.1808690279212515
Norway,0.20786749428404283,42,4.491678354193974
Sweden,0.1805658041304046,43,4.854351107782243
Denmark,0.15813993847598595,47,5.578450725276723
Portugal,0.31206907519735344,49,4.08712437091319
Canada,0.23388516649703833,45,3.811344083220605
Malaysia,0.19354483994321994,42,3.80165943433492
Australia,0.18904028117782434,42,3.6496973196183022
Brazil,0.30035782743299216,50,4.268312544929395
Japan,0.0833215626972436,25,4.319153527921288
Czechia,0.24436659977095915,49,4.471631637681365
Israel,0.2122773525061043,46,4.003679038116215
Ireland,0.27639490786197535,51,4.4319271037239645
Pakistan,0.3555351071580717,53,4.45926744134129
Luxembourg,0.38065666238802465,52,3.7877754225047156
Turkey,0.631911865905135,56,4.6067159861075835
Chile,0.292101095396383,52,4.222055879798343
Poland,0.24330074102101676,51,4.351909025985645
Greece,0.16918590682860396,46,4.247923592181822
Finland,0.19952156918516548,49,4.412963235027109
Ecuador,0.5204197993929359,55,4.176607647312853
Qatar,0.05961387409230876,49,5.6441318040288335
Iceland,0.1669964783099148,45,3.7917392293784067
Indonesia,0.22687136369917352,51,4.282376196308508
Singapore,0.04693481800185514,21,3.9501366005325123
Thailand,0.17026665266619473,45,3.52363613272
Saudi Arabia,0.20576257210887033,51,4.317990245904023
Slovenia,0.1544802834249365,49,4.508418709845947
Romania,0.17088291069671502,51,4.565471635382297
India,0.1570583734559841,48,3.9447547749735854
Peru,0.2428038886762858,54,4.523067108432896
Philippines,0.17846449229181793,50,4.175086489494646
Estonia,0.1397339909177377,51,4.700326195166174
Russia,0.24461524594004116,52,4.010733920602024
Bahrain,0.1046960266239699,42,4.101918236293485
Egypt,0.15560045514623072,47,3.874013746477224
South Africa,0.26591767913320147,53,3.863332449927345
