Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit
Qatar,0.054678405904867264,49,3/11/20,5.65408448490752,5.568344503761097
Bahrain,0.07179591514503865,42,3/4/20,4.128145094423784,3.9512437185814275
Japan,0.08030431919166221,26,2/17/20,4.263204920381562,3.970291913552122
Singapore,0.08277523519967912,23,2/14/20,3.599636964161105,3.912023005428146
Estonia,0.13935406457532598,51,3/13/20,4.698454631470487,4.3694478524670215
Slovenia,0.1541864018661705,49,3/11/20,4.5070967478816195,4.04305126783455
India,0.15472429884214706,48,3/10/20,3.860905360229143,3.9512437185814275
Denmark,0.15781785904712534,47,3/9/20,5.575416501142435,4.51085950651685
Philippines,0.16159727690368414,51,3/13/20,4.3415526020752155,4.04305126783455
Romania,0.16195307073689222,51,3/13/20,4.510183973345287,4.406719247264253
Iceland,0.1641452429876607,45,3/7/20,3.794005703882175,3.912023005428146
Greece,0.16479223852429073,46,3/8/20,4.2507563193066735,4.290459441148391
Egypt,0.1688168493156937,47,3/9/20,3.873637847596461,3.970291913552122
Sweden,0.17934230987546906,43,3/5/20,4.8578575899975736,4.543294782270004
Iran,0.18130423069737386,34,2/25/20,5.562254608471343,4.3694478524670215
Finland,0.1987497822375486,49,3/11/20,4.394510622822434,4.060443010546419
Saudi Arabia,0.20280215131547186,51,3/13/20,4.307422625920279,4.442651256490317
Belgium,0.20550685194262958,44,3/6/20,4.80403832641046,4.68213122712422
Italy,0.20663679717635694,31,2/22/20,5.314682377545367,4.07753744390572
Norway,0.20762467089735834,42,3/4/20,4.491513654171651,4.02535169073515
Malaysia,0.20830855720569608,44,3/6/20,3.9080243297284967,4.110873864173311
Israel,0.21284616988420144,46,3/8/20,3.970582030243852,4.07753744390572
Netherlands,0.21728425884272443,43,3/5/20,4.774585513562454,4.406719247264253
Indonesia,0.22251454753523078,51,3/13/20,4.179630218979282,4.143134726391533
Australia,0.22883499714548727,46,3/8/20,3.957726184059015,3.9512437185814275
United Kingdom,0.23202512511661683,42,3/4/20,4.4902739064953066,4.356708826689592
France,0.23806367363742426,38,2/29/20,4.810443728425487,4.454347296253507
Peru,0.23990205211899376,54,3/16/20,4.521380632073572,4.454347296253507
Czechia,0.24368232535558337,49,3/11/20,4.471589073540884,4.51085950651685
Poland,0.24690737744101585,51,3/13/20,4.296259316919787,4.189654742026425
Canada,0.2473694540083186,46,3/8/20,3.8820722381960797,4.02535169073515
Switzerland,0.24827482381223506,41,3/3/20,4.386412927737046,3.9889840465642745
Russia,0.2580892157903352,52,3/14/20,3.8809274016549824,3.9318256327243257
Austria,0.2621290755846206,44,3/6/20,4.171669595905391,4.007333185232471
Thailand,0.264257011946033,53,3/15/20,4.37404969964579,4.356708826689592
South Africa,0.26591767913320147,53,3/15/20,3.863332449927345,3.9318256327243257
Germany,0.26700469365452006,38,2/29/20,4.564478505623902,4.143134726391533
US,0.276801101190953,35,2/26/20,3.2451263372566492,3.9318256327243257
Ireland,0.2768042482438533,51,3/13/20,4.414388811685398,4.48863636973214
Spain,0.2851395761738354,39,3/1/20,4.578691417079192,4.406719247264253
Chile,0.290119055425123,52,3/14/20,4.225595118889501,4.110873864173311
Brazil,0.2982062465176136,50,3/12/20,4.2707691142687665,3.9512437185814275
Portugal,0.3111857142205069,49,3/11/20,4.0834662644144535,4.07753744390572
Pakistan,0.3560471687151074,53,3/15/20,4.436263924863182,3.9318256327243257
Luxembourg,0.3811293610889733,52,3/14/20,3.7728778059793373,3.912023005428146
Ecuador,0.5222107995008783,55,3/17/20,4.151476154709518,4.02535169073515
Turkey,0.6292713622359535,56,3/18/20,4.5969360755635424,4.574710978503383
