,Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp,Population,Population Density,fraction of Population affected per million
51,Diamond Princess,0.032026697838102906,16,2/7/20,5.410347383613152,4.110873864173311,712,10,603,0.014044943820224719,,,,
54,Qatar,0.04231575687870443,49,3/11/20,5.719356847539558,5.568344503761097,634,1,48,0.0015772870662460567,19.536155202821867,2881053.0,248.0,220.05843002541084
46,Singapore,0.05578578589918488,21,2/12/20,3.8268475919829026,3.912023005428146,844,3,212,0.0035545023696682463,28.779541446208114,5850342.0,8358.0,144.26507031554738
28,Japan,0.07738823661126484,25,2/16/20,4.393287459572765,4.07753744390572,1866,54,424,0.028938906752411574,3.5423280423280485,126476461.0,347.0,14.753733503027098
60,Bahrain,0.08896225505771281,42,3/4/20,4.2136326704410045,3.9512437185814275,499,4,272,0.008016032064128256,19.694885361552032,1701575.0,2239.0,293.2577171150258
57,Iraq,0.10822894438772356,45,3/7/20,3.9048296532084557,3.9889840465642745,547,42,143,0.07678244972577697,14.417107583774241,40222493.0,93.0,13.59935596234674
53,Estonia,0.1114928429636003,51,3/13/20,4.796247508401391,4.3694478524670215,679,3,20,0.004418262150220913,1.3298059964726663,1326535.0,31.0,511.85984538666526
23,Denmark,0.11350196982859957,47,3/9/20,5.805661274459349,4.5217885770490405,2564,72,73,0.028081123244929798,6.038359788359785,5792202.0,137.0,442.66411979416466
49,Slovenia,0.1158929925124569,49,3/11/20,4.6797161826346585,4.04305126783455,730,11,10,0.015068493150684932,5.551146384479718,2078938.0,103.0,351.1408228624423
55,Egypt,0.13164878556883786,47,3/9/20,4.001323094433915,4.007333185232471,609,40,132,0.06568144499178982,17.174603174603174,102334404.0,103.0,5.9510778017527715
39,Greece,0.1368918393498703,46,3/8/20,4.427854925649295,4.290459441148391,1156,38,52,0.0328719723183391,9.766313932980593,10423054.0,81.0,110.90799299322444
20,Sweden,0.1442861101182863,43,3/5/20,5.0901464832498915,4.543294782270004,3700,110,16,0.02972972972972973,3.0793650793650684,10099265.0,25.0,366.36329475461827
41,Iceland,0.14898173139076953,45,3/7/20,3.9019206065429977,3.912023005428146,1020,2,135,0.00196078431372549,6.511463844797179,341243.0,3.0,2989.072303314647
38,Finland,0.15399424786689503,49,3/11/20,4.620756461742565,4.07753744390572,1240,11,10,0.008870967741935484,-0.20546737213403907,5540720.0,18.0,223.79762918898626
44,Peru,0.1607765647312696,54,3/16/20,4.741860708998943,4.454347296253507,852,18,16,0.02112676056338028,26.84303350970019,32971854.0,26.0,25.840221177735412
6,Iran,0.16252283624304278,33,2/24/20,5.83008899008205,4.110873864173311,38309,2640,12391,0.06891331018820643,7.049382716049371,83992949.0,52.0,456.09780887679034
16,Norway,0.16278794915712844,42,3/4/20,4.802329031195071,4.02535169073515,4284,25,7,0.005835667600373483,6.410934744268072,5421241.0,15.0,790.2249687848225
40,India,0.1655892780082567,48,3/10/20,3.912886998141879,4.02535169073515,1024,27,95,0.0263671875,27.529982363315696,1380004385.0,464.0,0.7420266276907519
24,Malaysia,0.16968829929436113,42,3/4/20,3.9710007366113746,3.912023005428146,2470,35,388,0.01417004048582996,26.84038800705467,32365999.0,99.0,76.31465353502607
33,Philippines,0.1746452844843486,50,3/12/20,4.1895303034767695,3.9512437185814275,1418,71,42,0.05007052186177715,25.565255731922385,109581078.0,368.0,12.940190276281093
34,Thailand,0.1778001152450561,45,3/7/20,3.4919225335063997,3.912023005428146,1388,7,97,0.005043227665706052,29.06525573192241,69799978.0,137.0,19.885393087086648
36,Indonesia,0.18241484456713128,51,3/13/20,4.455673668527327,4.23410650459726,1285,114,64,0.088715953307393,28.91269841269842,273523615.0,151.0,4.697949023523983
1,Italy,0.18495629946997663,31,2/22/20,5.654963640190544,4.127134385045092,97689,10779,13030,0.1103399563922243,8.989417989417994,60461826.0,206.0,1615.713690155504
30,Romania,0.1863551409685818,51,3/13/20,4.5133650560996665,4.48863636973214,1815,43,206,0.023691460055096418,3.4126984126984143,19237691.0,84.0,94.34604184046827
59,Algeria,0.18692880083254043,54,3/16/20,3.969883477013627,3.9889840465642745,511,31,31,0.060665362035225046,20.798059964726622,43851044.0,18.0,11.653086298241838
35,Saudi Arabia,0.18843038822996844,51,3/13/20,4.398668919328156,4.454347296253507,1299,8,66,0.006158583525789068,19.51587301587302,34813871.0,16.0,37.31271365944913
19,Australia,0.19296333571608412,42,3/4/20,3.631682816793992,3.9512437185814275,3984,16,244,0.004016064257028112,20.58730158730156,25499884.0,3.0,156.2360048382965
9,Netherlands,0.19463931396613832,43,3/5/20,4.938976176762172,4.406719247264253,10930,772,253,0.07063129002744739,20.6740152851264,17134872.0,508.0,637.8804580506934
21,Czechia,0.19657709287552966,49,3/11/20,4.687175409744743,4.51085950651685,2817,16,11,0.0056798012069577564,4.966490299823631,,,
48,Serbia,0.19980258848845422,54,3/16/20,4.061339183811478,4.007333185232471,741,13,0,0.017543859649122806,6.631393298059949,8737371.0,100.0,84.80811905549163
29,Poland,0.20076628842637295,51,3/13/20,4.518679560643123,4.219507705176107,1862,22,7,0.011815252416756176,4.286596119929452,37846611.0,124.0,49.198592708868965
31,Pakistan,0.20231393764824918,53,3/15/20,4.9340010672758625,3.970291913552122,1597,14,29,0.008766437069505322,13.796296296296294,220892340.0,287.0,7.229766319646938
10,Belgium,0.2031036061542385,43,3/5/20,4.565060622445571,3.912023005428146,10836,431,1359,0.039774824658545586,7.2539682539682575,11589623.0,383.0,934.9743300537041
45,Mexico,0.20378452403824532,54,3/16/20,4.185164513811344,3.970291913552122,848,16,4,0.018867924528301886,14.65343915343917,128932753.0,66.0,6.577072002798234
52,Colombia,0.2052918677800097,54,3/16/20,4.098132762128215,3.9889840465642745,702,10,10,0.014245014245014245,14.493827160493838,50882891.0,46.0,13.796385901107703
61,Morocco,0.20716307644909077,57,3/19/20,4.14049663032898,4.143134726391533,479,26,13,0.054279749478079335,14.94268077601412,36910560.0,83.0,12.977315976782796
50,Croatia,0.20927064527710604,54,3/16/20,4.09741472447327,4.04305126783455,713,6,52,0.008415147265077139,7.596119929453262,4105267.0,73.0,173.67932463345258
47,Argentina,0.21332868071747363,54,3/16/20,4.04609226124589,4.02535169073515,745,19,72,0.025503355704697986,22.633156966490294,45195774.0,17.0,16.48384205125019
8,Switzerland,0.21347883925824754,41,3/3/20,4.663831215666768,4.02535169073515,14829,300,1595,0.020230629172567266,-5.21340388007055,8654622.0,219.0,1713.4197195440772
5,France,0.21353938725639796,37,2/28/20,4.798789880853561,4.04305126783455,40708,2611,7226,0.06413972683502014,22.804673721340382,65273511.0,119.0,623.6526789557865
18,Israel,0.217201143094402,46,3/8/20,3.7825304969229574,4.110873864173311,4247,15,132,0.0035319048740287263,13.19488536155203,8655535.0,400.0,490.66868772409794
32,Russia,0.2199770286454168,52,3/14/20,4.089730448585685,4.07753744390572,1534,8,64,0.005215123859191656,-10.00352733686067,145934462.0,9.0,10.511567857083682
22,Ireland,0.22099747393242292,51,3/13/20,4.65283922390262,4.499809670330265,2615,46,5,0.017590822179732315,6.511463844797179,4937786.0,72.0,529.5895771910731
42,Panama,0.22126061450342477,54,3/16/20,4.093259297061146,4.007333185232471,901,17,4,0.018867924528301886,29.64902998236332,4314767.0,58.0,208.81776466724622
7,United Kingdom,0.2216080501530084,41,3/3/20,4.3695040380352355,3.9318256327243257,19780,1231,151,0.06223458038422649,16.16543209876545,67886011.0,281.0,291.3707803511978
13,Austria,0.225898594331975,44,3/6/20,4.415096109584992,4.007333185232471,8788,86,479,0.00978607191624943,2.076719576719578,9006398.0,109.0,975.7507940466322
4,Germany,0.23171691313257145,38,2/29/20,4.912165317536233,4.3694478524670215,62095,533,9211,0.008583621869715757,5.409171075837741,83783942.0,240.0,741.1324714227459
25,Chile,0.2319675791194846,52,3/14/20,4.433811398294756,4.110873864173311,2139,7,75,0.0032725572697522207,21.60052910052911,19116201.0,26.0,111.8946175550257
14,Canada,0.2324604991430298,45,3/7/20,3.8273464089497553,3.9889840465642745,6280,64,466,0.01019108280254777,-5.648629148629147,37742154.0,4.0,166.3921990249947
37,South Africa,0.25166668814128984,53,3/15/20,3.9290224671394913,3.9318256327243257,1280,2,31,0.0015625,26.506172839506156,59308690.0,49.0,21.58199751166313
17,Brazil,0.2518281754018733,50,3/12/20,4.488894654571585,3.9512437185814275,4256,136,6,0.03195488721804511,25.65520282186949,212559417.0,25.0,20.022636776426612
3,Spain,0.25314431475487237,39,3/1/20,4.898357064621375,4.430816798843313,80110,6803,14709,0.0849207339907627,15.526455026455027,46754778.0,94.0,1713.4077719286786
26,Luxembourg,0.25712230858352775,52,3/14/20,4.228810979674669,3.9318256327243257,1950,21,40,0.010769230769230769,4.940035273368591,625978.0,242.0,3115.1254516931904
43,Dominican Republic,0.26003217070821355,58,3/20/20,4.570620468639775,4.276666119016055,859,39,3,0.04540162980209546,27.1931216931217,10847910.0,225.0,79.1857602063439
15,Portugal,0.261502600868193,49,3/11/20,4.32122276844738,4.07753744390572,5962,119,43,0.019959745051995974,14.626102292768953,10196709.0,111.0,584.6984551584242
0,US,0.2633112289727956,33,2/24/20,3.035533705906712,3.9318256327243257,140886,2467,2665,0.017510611416322416,6.046357112449082,,,
27,Ecuador,0.27115129970506097,55,3/17/20,4.796153674355953,4.060443010546419,1924,58,3,0.030145530145530147,24.64021164021165,17643054.0,71.0,109.05141479474018
58,New Zealand,0.27986072994405803,59,3/21/20,4.155539844887948,3.9512437185814275,514,1,56,0.0019455252918287938,17.291887125220455,4822233.0,18.0,106.58962352088753
62,Ukraine,0.295467962648325,60,3/22/20,4.114024142583002,4.290459441148391,475,10,6,0.021052631578947368,3.5379188712522076,43733762.0,75.0,10.861174028431398
12,Turkey,0.3946973449382949,56,3/18/20,5.070798279051883,4.584967478670572,9217,131,105,0.014212867527395031,2.6366843033509704,84339067.0,110.0,109.28506003036529
